date,close
2021-01-31,98.15
2021-02-28,98.40
2021-03-31,98.75
2021-04-30,99.18
2021-05-31,99.68
2021-06-30,100.22
2021-07-31,100.77
2021-08-31,101.31
2021-09-30,101.79
2021-10-31,102.21
2021-11-30,102.54
2021-12-31,102.76
2022-01-31,102.87
2022-02-28,102.88
2022-03-31,102.79
2022-04-30,102.62
2022-05-31,102.39
2022-06-30,102.14
2022-07-31,101.89
2022-08-31,101.67
2022-09-30,101.51
2022-10-31,101.43
2022-11-30,101.44
2022-12-31,101.57
2023-01-31,101.80
2023-02-28,102.14
2023-03-31,102.57
2023-04-30,103.07
2023-05-31,103.62
2023-06-30,104.19
2023-07-31,104.75
2023-08-31,105.27
2023-09-30,105.73
2023-10-31,106.09
2023-11-30,106.35
2023-12-31,106.49
2024-01-31,106.53
2024-02-29,106.45
2024-03-31,106.29
2024-04-30,106.07
2024-05-31,105.81
2024-06-30,105.55
2024-07-31,105.31
2024-08-31,105.13
2024-09-30,105.03
2024-10-31,105.02
2024-11-30,105.12
2024-12-31,105.33
