date,close
2021-01-31,120.30
2021-02-28,120.73
2021-03-31,121.28
2021-04-30,121.93
2021-05-31,122.67
2021-06-30,123.46
2021-07-31,124.26
2021-08-31,125.04
2021-09-30,125.77
2021-10-31,126.41
2021-11-30,126.94
2021-12-31,127.34
2022-01-31,127.61
2022-02-28,127.74
2022-03-31,127.76
2022-04-30,127.67
2022-05-31,127.52
2022-06-30,127.33
2022-07-31,127.14
2022-08-31,127.00
2022-09-30,126.93
2022-10-31,126.95
2022-11-30,127.10
2022-12-31,127.39
2023-01-31,127.81
2023-02-28,128.36
2023-03-31,129.03
2023-04-30,129.79
2023-05-31,130.61
2023-06-30,131.46
2023-07-31,132.30
2023-08-31,133.09
2023-09-30,133.79
2023-10-31,134.39
2023-11-30,134.85
2023-12-31,135.17
2024-01-31,135.34
2024-02-29,135.39
2024-03-31,135.32
2024-04-30,135.17
2024-05-31,134.98
2024-06-30,134.78
2024-07-31,134.61
2024-08-31,134.51
2024-09-30,134.51
2024-10-31,134.63
2024-11-30,134.90
2024-12-31,135.31
