date,close
2021-01-31,102.15
2021-02-28,102.42
2021-03-31,102.78
2021-04-30,103.23
2021-05-31,103.75
2021-06-30,104.31
2021-07-31,104.89
2021-08-31,105.44
2021-09-30,105.95
2021-10-31,106.38
2021-11-30,106.72
2021-12-31,106.96
2022-01-31,107.07
2022-02-28,107.08
2022-03-31,106.98
2022-04-30,106.80
2022-05-31,106.57
2022-06-30,106.31
2022-07-31,106.04
2022-08-31,105.82
2022-09-30,105.65
2022-10-31,105.57
2022-11-30,105.59
2022-12-31,105.72
2023-01-31,105.96
2023-02-28,106.31
2023-03-31,106.76
2023-04-30,107.28
2023-05-31,107.85
2023-06-30,108.45
2023-07-31,109.03
2023-08-31,109.57
2023-09-30,110.04
2023-10-31,110.42
2023-11-30,110.69
2023-12-31,110.84
2024-01-31,110.87
2024-02-29,110.80
2024-03-31,110.63
2024-04-30,110.40
2024-05-31,110.13
2024-06-30,109.86
2024-07-31,109.61
2024-08-31,109.42
2024-09-30,109.31
2024-10-31,109.30
2024-11-30,109.41
2024-12-31,109.63
